"1,00E+07","3,84E+08","-8,06E+09"
"1,26E+07","3,09E+08","-6,46E+09"
"1,58E+07","2,70E+08","-5,18E+09"
"2,00E+07","2,34E+08","-4,14E+09"
"2,51E+07","2,09E+08","-3,30E+09"
"3,16E+07","1,93E+08","-2,64E+09"
"3,98E+07","1,81E+08","-2,10E+09"
"5,01E+07","1,69E+08","-1,68E+09"
"6,31E+07","1,63E+08","-1,34E+09"
"7,95E+07","1,55E+08","-1,07E+09"
"1,00E+08","1,50E+08","-8,54E+08"
"1,26E+08","1,46E+08","-6,81E+08"
"1,59E+08","1,43E+08","-5,44E+08"
"2,00E+08","1,39E+08","-4,34E+08"
"2,51E+08","1,37E+08","-3,47E+08"
"3,17E+08","1,35E+08","-2,77E+08"
"3,98E+08","1,33E+08","-2,22E+08"
"5,01E+08","1,32E+08","-1,77E+08"
"6,32E+08","1,31E+08","-1,42E+08"
"7,95E+08","1,30E+08","-1,14E+08"
"1,00E+09","1,29E+08","-9,15E+07"
"1,26E+09","1,28E+08","-7,36E+07"
"1,59E+09","1,28E+08","-5,94E+07"
"2,00E+09","1,27E+08","-4,81E+07"
"2,52E+09","1,26E+08","-3,92E+07"
"3,17E+09","1,26E+08","-3,21E+07"
"3,99E+09","1,25E+08","-2,65E+07"
"5,02E+09","1,24E+08","-2,21E+07"
"6,32E+09","1,24E+08","-1,87E+07"
"7,95E+09","1,23E+08","-1,57E+07"
"1,00E+10","1,22E+08","-1,34E+07"
"1,26E+10","1,22E+08","-1,18E+07"
"1,59E+10","1,21E+08","-1,03E+07"
"2,00E+10","1,20E+08","-9,09E+06"
"2,52E+10","1,19E+08","-8,24E+06"
"3,17E+10","1,19E+08","-7,56E+06"
"3,99E+10","1,18E+08","-7,04E+06"
"5,02E+10","1,17E+08","-6,78E+06"
"6,32E+10","1,17E+08","-6,45E+06"
"7,96E+10","1,16E+08","-6,31E+06"
"1,00E+11","1,15E+08","-6,12E+06"
"1,26E+11","1,14E+08","-6,00E+06"
"1,59E+11","1,13E+08","-5,78E+06"
"2,00E+11","1,12E+08","-5,48E+06"
"2,52E+11","1,11E+08","-5,14E+06"
"3,17E+11","1,10E+08","-4,68E+06"
"3,99E+11","1,10E+08","-4,03E+06"
"5,02E+11","1,09E+08","-3,53E+06"
"6,32E+11","1,09E+08","-2,98E+06"
"7,96E+11","1,08E+08","-2,43E+06"
"1,00E+12","1,08E+08","-1,91E+06"
"1,26E+12","1,08E+08","-1,50E+06"
"1,59E+12","1,08E+08","-1,06E+06"
"2,00E+12","1,07E+08","-5,44E+05"
