1.0000616E+000	3.8400322E+001	-8.0624567E+002
1.2596772E+000	3.0884302E+001	-6.4631519E+002
1.5846864E+000	2.7022837E+001	-5.1751373E+002
1.9950197E+000	2.3439560E+001	-4.1399051E+002
2.5112481E+000	2.0886562E+001	-3.3039362E+002
3.1629577E+000	1.9302885E+001	-2.6401410E+002
3.9819033E+000	1.8087473E+001	-2.1031444E+002
5.0144420E+000	1.6901197E+001	-1.6788953E+002
6.3105822E+000	1.6334602E+001	-1.3400578E+002
7.9476089E+000	1.5522514E+001	-1.0687086E+002
1.0003224E+001	1.5008390E+001	-8.5390518E+001
1.2600795E+001	1.4559372E+001	-6.8108246E+001
1.5857593E+001	1.4266624E+001	-5.4441631E+001
1.9968077E+001	1.3944331E+001	-4.3433117E+001
2.5136768E+001	1.3729849E+001	-3.4682858E+001
3.1650887E+001	1.3499067E+001	-2.7734352E+001
3.9834305E+001	1.3345886E+001	-2.2177443E+001
5.0144421E+001	1.3220526E+001	-1.7723907E+001
6.3160732E+001	1.3106725E+001	-1.4211796E+001
7.9516319E+001	1.3002560E+001	-1.1397797E+001
1.0009631E+002	1.2916718E+001	-9.1516924E+000
1.2600794E+002	1.2836068E+001	-7.3639169E+000
1.5862956E+002	1.2763480E+001	-5.9421744E+000
1.9968077E+002	1.2698985E+001	-4.8121676E+000
2.5152937E+002	1.2630685E+001	-3.9205828E+000
3.1651929E+002	1.2569906E+001	-3.2138755E+000
3.9859711E+002	1.2500572E+001	-2.6544089E+000
5.0176605E+002	1.2432694E+001	-2.2123415E+000
6.3181964E+002	1.2357817E+001	-1.8673329E+000
7.9525262E+002	1.2283276E+001	-1.5747237E+000
1.0016039E+003	1.2224981E+001	-1.3448532E+000
1.2603998E+003	1.2153278E+001	-1.1793934E+000
1.5875399E+003	1.2076908E+001	-1.0346676E+000
1.9980818E+003	1.2005692E+001	-9.0902126E-001
2.5158079E+003	1.1935211E+001	-8.2407188E-001
3.1680391E+003	1.1869720E+001	-7.5553340E-001
3.9862766E+003	1.1797766E+001	-7.0433462E-001
5.0216094E+003	1.1736336E+001	-6.7812783E-001
6.3226445E+003	1.1666185E+001	-6.4456666E-001
7.9597607E+003	1.1581870E+001	-6.3136381E-001
1.0020785E+004	1.1499626E+001	-6.1178899E-001
1.2609489E+004	1.1401163E+001	-5.9997803E-001
1.5875519E+004	1.1313605E+001	-5.7777786E-001
1.9995176E+004	1.1215563E+001	-5.4786104E-001
2.5172584E+004	1.1120973E+001	-5.1408988E-001
3.1686090E+004	1.1028270E+001	-4.6805021E-001
3.9888285E+004	1.0959478E+001	-4.0273505E-001
5.0224543E+004	1.0911633E+001	-3.5339463E-001
6.3233004E+004	1.0860192E+001	-2.9826999E-001
7.9609555E+004	1.0824509E+001	-2.4319972E-001
1.0022640E+005	1.0793134E+001	-1.9138369E-001
1.2617837E+005	1.0779320E+001	-1.4979330E-001
1.5885725E+005	1.0756349E+001	-1.0578001E-001
1.9999814E+005	1.0749776E+001	-5.4369245E-002
