Ewe,fmin,fmax,Initial_R0,Initial_R1,Initial_fs1,Initial_n1,Initial_R2,Initial_fs2,Initial_n2,Initial_Rpore,Initial_W,R0_bound_min,R1_bound_min,fs1_bound_min,n1_bound_min,R2_bound_min,fs2_bound_min,n2_bound_min,Rpore_bound_min,W_bound_min,R0_bound_max,R1_bound_max,fs1_bound_max,n1_bound_max,R2_bound_max,fs2_bound_max,n2_bound_max,Rpore_bound_max,W_bound_max,Fit_R0,Fit_R1,Fit_fs1,Fit_n1,Fit_R2,Fit_fs2,Fit_n2,Fit_Rpore,Fit_W,Residual
0.40045965,4,1000000.0,16.489035898285128,2.1573128094372294,26.75206955212356,0.8620010998866274,83661.65679260553,4.431941794123568,0.8990908463155709,226.1880155263183,5.63312578795745,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,5.259007604742899,4.936157565005945,30.834816434613582,1.2261406126491523,56437.70059878889,0.4018850195107493,1.087362318261985,485.46575524838653,15.59069767445292,0.594810029812262
0.42046,4,1000000.0,5.259007604742899,4.936157565005945,30.834816434613582,1.2261406126491523,56437.70059878889,0.4018850195107493,1.087362318261985,485.46575524838653,15.59069767445292,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,4.469827387095823,4.9361575650143195,30.919891208679747,1.226140612660235,55761.08420005722,0.4018850195107493,1.087362318261985,485.4657619526613,15.590697680960176,0.5710084919954987
0.4404586,4,1000000.0,4.469827387095823,4.9361575650143195,30.919891208679747,1.226140612660235,55761.08420005722,0.4018850195107493,1.087362318261985,485.4657619526613,15.590697680960176,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,4.463177062886871,4.936157565001815,29.971458398259436,1.2261406126510186,52869.14070160514,0.4150163480283815,1.0873623182413465,485.4657619506679,15.590697681014586,0.5805999966965436
0.4604471,4,1000000.0,4.463177062886871,4.936157565001815,29.971458398259436,1.2261406126510186,52869.14070160514,0.4150163480283815,1.0873623182413465,485.4657619506679,15.590697681014586,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,4.321989138630641,4.936157565014203,30.117683917924488,1.226140612660235,52847.34327672339,0.4018889399960493,1.087362318261985,485.4657619536011,15.590697681021066,0.6022971090826406
0.48045054,4,1000000.0,4.321989138630641,4.936157565014203,30.117683917924488,1.226140612660235,52847.34327672339,0.4018889399960493,1.087362318261985,485.4657619536011,15.590697681021066,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,4.155815460268521,4.93615756501434,28.799063437476228,1.226140612660235,52078.10506842037,0.4018850195107493,1.087362318261985,485.46576195365105,15.590697681016957,0.6314106230828056
0.50044185,4,1000000.0,4.155815460268521,4.93615756501434,28.799063437476228,1.226140612660235,52078.10506842037,0.4018850195107493,1.087362318261985,485.46576195365105,15.590697681016957,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,4.600115040758078,4.936157565013924,28.55767727575484,1.2261406126602343,50045.17898048726,0.4018868683070753,1.087362318261985,485.46576195350576,15.59069768102034,0.6643948932946535
0.52042955,4,1000000.0,4.600115040758078,4.936157565013924,28.55767727575484,1.2261406126602343,50045.17898048726,0.4018868683070753,1.087362318261985,485.46576195350576,15.59069768102034,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,5.404615445980452,4.93615756501419,27.755268376499295,1.2261406126602348,48559.280192887534,0.4018850296119343,1.087362318261985,485.46576195358676,15.59069768102077,0.6990400027082668
0.5404127,4,1000000.0,5.404615445980452,4.93615756501419,27.755268376499295,1.2261406126602348,48559.280192887534,0.4018850296119343,1.087362318261985,485.46576195358676,15.59069768102077,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,6.397314367588293,4.936157565000075,27.11545007688643,1.2261406126530285,46968.56654677312,0.4031992187446186,1.0873623182619787,485.46576194993213,15.590697681014717,0.73644069941242
0.5604244,4,1000000.0,6.397314367588293,4.936157565000075,27.11545007688643,1.2261406126530285,46968.56654677312,0.4031992187446186,1.0873623182619787,485.46576194993213,15.590697681014717,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,7.240507457501311,4.936157564997831,26.422316471975396,1.2261406126473369,45708.99460495692,0.40413577285055863,1.0873623182354049,485.4657619494613,15.590697681014586,0.7738651270925683
0.5804123,4,1000000.0,7.240507457501311,4.936157564997831,26.422316471975396,1.2261406126473369,45708.99460495692,0.40413577285055863,1.0873623182354049,485.4657619494613,15.590697681014586,4.0600133122649105,0.7578867740907376,5.690271443821073,0.7818192249614343,0.1,0.40188501951074923,0.6571201190658599,3.219480082181466,0.17404192082409808,18.436378836647346,4.936157565014341,47302620.43684843,1.2261406126602352,3788200470.902521,4372.929709367251,1.0873623182619852,485.46576195365117,15.59069768102238,8.205728400985175,4.936157564995967,25.892066328803033,1.2261406126453638,44539.21300173526,0.40358089964731775,1.0873623182326855,485.46576194886944,15.590697681014586,0.8130474987930184
